Date_ID,registration,error
0,103.2016,0
1,16.06.2016,0
2,05.02.2018,0
3,00-02.2018,0
4,01.20.2018,1
5,26.01.2018,0
6,,1
7,2018,1
8,06.02.2018,0
9,21.08.2018,0
10,07.12.2017,0
11,,1
12,28.07.2017,0
13,B128.12.17,1
14,28.12.2017,0
15,28.12.2017,0
16,28.12.2017,0
17,28.12.2017,0
18,28.12.2017,0
19,28.12.2017,0
20,28.12.2017,0
21,09.01.2018,0
22,09.01.2018,0
23,28.12.2017,0
24,28.12.2017,0
25,28.12.2017,0
26,28.12.2017,0
27,28.12.2017,0
28,09.01.2018,0
29,09.01.2018,0
30,28.12.2017,0
31,09.01.2018,0
32,08.02.2018,0
33,08.01.2018,0
34,08.01,0
35,00-02.201,1
36,19.01.2018,0
37,19.01.2018,0
38,1.9.01.2018,1
39,25.10.20T7,1
40,03.01.2018,0
41,3.01.2018,1
42,31.01.2018,0
43,08.02.2018,0
44,08.01.2018,0
45,23.10.2017,0
46,09.02.2018,0
47,03.12.2015,0
48,09.10.2017,0
49,01.02.2018,0
50,13.02.2018,0
51,13.02.2018,0
52,02.20.2018,1
53,14.08.2018,0
54,1A.02.2018,1
55,12.02.2018,0
56,19.02.2018,0
57,19.02.2018,0
58,a.n,0
59,20.02.2018,0
60,20.02.2018,0
61,20.02.2018,0
62,20.02.2018,0
63,20.02.2018,0
64,03.07.2018,0
65,06.07.2018,0
66,14.05.2018,0
67,4.0218,0
68,11.12.2018,0
69,20.08.2018,0
70,25.05.2018,0
71,11.07.2018,0
72,11.07.2018,0
73,25.06.2018,0
74,11.12.2018,0
75,13.07.2018,0
76,05.07.2018,0
77,13.07.2018,0
78,13.07.2018,0
79,16.07.2018,0
80,16.07.2018,0
81,15.05.2018,0
82,30.08.2018,0
83,17.08.2018,0
84,1.07.2018,1
85,17.08.2018,0
86,13.08.2018,0
87,05.07.2017,0
88,eqmyap.pun.esTpfinazxjj.puni,1
89,072018,1
90,6.072018,0
91,1.07.2018.131,1
92,8.07.2018,1
93,,1
94,11.12.2018,0
95,11.12.2018,0
96,22.08.2018,0
97,21.07.2018,0
98,22.05.2018,0
99,20.07.2018,0
100,,1
101,20.07.2018,0
102,01.08.2018,0
103,30.08.2018,0
104,02.08.2018,0
105,02.08.2018,0
106,1A.08.201,1
107,30.08.2018,0
108,04.07.2018,0
109,22.08.2018,0
110,23.11.2018,0
111,20.08.2018,0
112,23.08.2018,0
113,07.08.2018,0
114,04.07.2018,0
115,24.10.2018,0
116,13.11.2018,0
117,03.09.2018,0
118,E0S.201A,0
119,22.05.2018,0
120,23.10.2018,0
121,03.09.2018,0
122,11.09.2018,0
123,30.08.2018,0
124,12.09.2018,0
125,05.02.2019,0
126,24.09.2018,0
127,18.10.2018,0
128,14.09.2018,0
129,17.09.2018,0
130,,1
131,18.10.2018,0
132,17.09.2018,0
133,13.09.2018,0
134,19.09.2018,0
135,08.10.2018,0
136,10.10.2018,0
137,18.09.2018,0
138,14.09.2018,0
139,14.09.2018,0
140,19.02.2018,0
141,19.09.2018,0
142,1१.09.1,1
143,12.09.2018,0
144,19.09.2018,0
145,미15.11.2018,1
146,15.11.2018,0
147,22.05.2019,0
148,109.18,0
149,19.09.2014,0
150,14.11.2018,0
151,24.09.2018,0
152,27.09.2018,0
153,3.08.201821,1
154,O.a9.2018,1
155,04.10.2016,0
156,19.09.2018,0
157,17.10.2018,0
158,28-06.2018,0
159,18.10.2018,0
160,19.09.2018,0
161,26.09.2018,0
162,14.09.2018,0
163,26.09.2018,0
164,22.10.2018,0
165,22.10.2018,0
166,18.10.2018,0
167,22.10.2018,0
168,24.10.2018,0
169,23.10.2018,0
170,19.09.2018,0
171,16.10.2018,0
172,29.10.2018,0
173,02.10.2018,0
174,02.10.2018,0
175,17.10.20L8,1
176,28.09.2018,0
177,09.10.2018,0
178,03.08.2016,0
179,25.07.2017,0
180,3.11.2017,1
181,28.02.2018,0
182,08.01.2018,0
183,02.02.2018,0
184,05.02.2018,0
185,05.02.2018,0
186,15.03.2018,0
187,02.05.2018,0
188,02.05.2018,0
189,21.06.2018,0
190,02.07.2018,0
191,15.03.2018,0
192,15.03.2018,0
193,15.03.2018,0
194,15.03.2018,0
195,15.03.2018,0
196,15.03.2018,0
197,15.03.2018,0
198,15.03.2018,0
199,16/646,1
200,30.05.2018,0
201,018.30.,0
202,2018.Bו05.30,1
203,30.05.2018,0
204,29.06.2018,0
205,27.04.201,1
206,05.03.2018,0
207,11.12.2017,0
208,02.01.2018,0
209,16.01.2018,0
210,16.01.2018,0
211,16.01.2018,0
212,12.02.2018,0
213,02.03.2018,0
214,13.03.2018,0
215,14.03.2018,0
216,14.03.2018,0
217,15.03.2018,0
218,03.04.2018,0
219,03.04.2018,0
220,오.04.201,1
221,24.04.2018,0
222,30.04.2018,0
223,02.05.2018,0
224,04.05.2018,0
225,07.05.2018,0
226,07.05.2018,0
227,14.05.2018,0
228,14.05.2018,0
229,16.05.2018,0
230,16.05.2018,0
231,14.05.201821,1
232,18.05.2018,0
