License_ID,license,plate,error
0,FO,82,1
1,HN-TO,940,0
2,OD-MX,4100,0
3,HM-S,8012,0
4,,1НК-1041,1
5,OD-MX,2800,0
6,,,1
7,OD-MX,1280,0
8,HM-S-B,23,0
9,WI-ASG,8,1
10,E-GT,330,0
11,S,2-S1-bsetrung,1
12,E-GT,220,0
13,WI-WG,53,0
14,I-WG,58,0
15,WGS,81,1
16,GS,877,1
17,NGS,8,1
18,I-WG,5,1
19,I-WGS,7E,1
20,WGS,9,1
21,,,1
22,NI-G,80S,1
23,WI,3-NGSE,1
24,WI-WG,584,0
25,WI-WGS,8E,1
26,,,1
27,HG,59O,1
28,,,1
29,,7-1-WG,1
30,,1-WGS9,1
31,,,1
32,HM-S,8024,0
33,OD-MX,1795,0
34,OD-MX,1792,0
35,HM-S,8025,0
36,OD-MX,1796,0
37,OD-MX,1801,0
38,OD-MX,1798,0
39,АВ-SH,3333,0
40,HM-S,7114,0
41,HM-S,7113,0
42,OD-MX,1803,0
43,FM-S,8026,0
44,OD-MX,7043,0
45,TR,1836,1
46,OD-MX,1804,0
47,HN-TO,505,0
48,HNTO,660,0
49,HM-S,8017,0
50,HM-S,8027,0
51,HM-S,8028,0
52,HM-S,8029,0
53,WI-WGSQ,0,1
54,OD-MX,1797,0
55,OD-МХ,3000,0
56,ERH-P,310,0
57,OD-МX,1809,0
58,urg-Teili-Lntila-twarden-Ein-Buis,3D-ung-der-Zuridcngsbe-67,1
59,HM-S,8033,0
60,HM-S,8032,0
61,HM-S,8034,0
62,HM-S,8035,0
63,HM-S,8036,0
64,OD-MX,1842,0
65,OD-MX,1846,0
66,FR-A,3610,0
67,,,1
68,K-SO,3179,0
69,OD-MX,7777,0
70,FR-EE,2410,0
71,OD-MX,1823,0
72,OD-MX,1839,0
73,WI-A,820,0
74,K-SO,3180,0
75,OD-MX,1848,0
76,,,1
77,OD-MX,1847,0
78,OD-MX,1841,0
79,OD-MX,1845,0
80,OD-MX,1830,0
81,MB-OF,570,0
82,K-SO,3002,0
83,OD-MX,1899,0
84,OD-MX,1100,0
85,OD-MX,1844,0
86,OD-VK,800,0
87,FS-BS,5600,0
88,scheinigung-Tel,1-ist-hlerfür-nicht-ertorderlich,1
89,MX,765,1
90,OD-MX,1122,0
91,OD-tХ,1144,1
92,OD-MX,4711,0
93,,,1
94,K-S,3182,1
95,K-SO,3183,0
